year,equityGrowth,dividendYield,equityReturn,fixedIncomeReturn,inflationIndex
1899,0.0032894736842103978,0.03302631578947368,0.03631578947368408,0.031,6.755342479
1900,0.15901639344262297,0.035655737704918034,0.194672131147541,0.0315,7.897091074
1901,0.14851485148514842,0.042673267326732676,0.1911881188118811,0.031,7.706792893
1902,0.041871921182266236,0.03950738916256158,0.08137931034482782,0.0318,7.897091074
1903,-0.21040189125295516,0.0392080378250591,-0.17119385342789606,0.033,8.658259504
1904,0.2619760479041917,0.05190119760479042,0.3138772455089821,0.034,8.277679339
1905,0.17081850533807819,0.036975088967971526,0.2077935943060497,0.0348,8.467928926
1906,-0.03140830800405259,0.034022289766970616,0.0026139817629180287,0.034300000000000004,8.467928926
1907,-0.2834728033472804,0.042186192468619245,-0.24128661087866118,0.036699999999999997,8.848509091
1908,0.3226277372262776,0.06375182481751825,0.3863795620437958,0.0387,8.658259504
1909,0.11258278145695355,0.04451434878587196,0.1570971302428255,0.037599999999999995,8.94367438
1910,-0.0803571428571429,0.04389880952380952,-0.036458333333333384,0.0391,9.895165289
1911,-0.016181229773462813,0.05070118662351672,0.03451995685005391,0.0398,9.229089256
1912,0.019736842105263275,0.05162280701754386,0.07135964912280714,0.0401,9.134004959
1913,-0.1000000000000002,0.051612903225806445,-0.048387096774193755,0.044500000000000005,9.8
1914,-0.10633213859020296,0.05675029868578256,-0.0495818399044204,0.0416,10
1915,0.24732620320855614,0.056256684491978605,0.30358288770053476,0.0424,10.1
1916,0.025723472668810254,0.0472454448017149,0.07296891747052515,0.0405,10.4
1917,-0.24660397074190177,0.05964472309299895,-0.18695924764890282,0.042300000000000004,11.7
1918,0.08876560332871009,0.09431345353675452,0.1830790568654646,0.045700000000000005,14
1919,0.12484076433121016,0.07219108280254777,0.19703184713375793,0.045,16.5
1920,-0.19479048697621737,0.059830124575311436,-0.13496036240090592,0.049699999999999994,19.3
1921,0.026722925457102642,0.07113924050632911,0.09786216596343175,0.0509,19
1922,0.2191780821917808,0.06358904109589042,0.28276712328767123,0.043,16.9
1923,-0.00786516853932584,0.05749438202247191,0.04962921348314607,0.0436,16.8
1924,0.19818799546998878,0.06021517553793884,0.25840317100792765,0.0406,17.3
1925,0.19565217391304346,0.05238185255198488,0.24803402646502834,0.038599999999999995,17.3
1926,0.059288537549407216,0.04802371541501976,0.10731225296442698,0.0368,17.9
1927,0.3082089552238807,0.051992537313432834,0.36020149253731354,0.0334,17.5
1928,0.41814033086138047,0.044306902452937814,0.4624472333143183,0.0333,17.3
1929,-0.12670957361222845,0.03459372485921158,-0.09211584875301687,0.036000000000000004,17.1
1930,-0.2639336711192999,0.044716720405343156,-0.21921695071395672,0.0329,17.1
1931,-0.48060075093867327,0.06049436795994994,-0.4201063829787233,0.0334,15.9
1932,-0.14578313253012054,0.09557831325301204,-0.0502048192771085,0.0368,14.3
1933,0.48660084626234124,0.06981664315937941,0.5564174894217206,0.0331,12.9
1934,-0.12144212523719156,0.04182163187855788,-0.07962049335863368,0.031200000000000002,13.2
1935,0.48596112311015127,0.04859611231101512,0.5345572354211664,0.0279,13.6
1936,0.27834302325581395,0.03488372093023256,0.3132267441860465,0.0265,13.8
1937,-0.35702103467879476,0.041500852757248435,-0.3155201819215463,0.0268,14.1
1938,0.10521662245800179,0.07014438549955791,0.1753610079575597,0.0256,14.2
1939,-0.015999999999999903,0.04106664,0.0250666400000001,0.0236,14
1940,-0.14227642276422758,0.050677479674796744,-0.09159894308943084,0.022099999999999998,13.9
1941,-0.15355450236966828,0.06382303317535544,-0.08973146919431284,0.0195,14.1
1942,0.12989921612542,0.07876069428891377,0.20865991041433377,0.0246,15.7
1943,0.17443012884043596,0.05847373637264618,0.23290386521308215,0.024700000000000003,16.9
1944,0.13839662447257384,0.05175805907172996,0.1901546835443038,0.0248,17.4
1945,0.335804299481097,0.04768962194217939,0.38349392142327643,0.023700000000000002,17.8
1946,-0.15593784683684786,0.03699594894561598,-0.11894189789123188,0.0219,18.2
1947,-0.024983563445101997,0.04689894806048652,0.021915384615384524,0.0225,21.5
1948,0.0357383681726231,0.05686668914362778,0.09260505731625088,0.024399999999999998,23.7
1949,0.09895833333333326,0.061631966145833335,0.1605902994791666,0.0231,24
1950,0.25651658767772534,0.06812796208530805,0.32464454976303336,0.0232,23.5
1951,0.14049976426214061,0.07009288071664309,0.21059264497878372,0.025699999999999997,25.4
1952,0.08226539892517559,0.058426209177346006,0.1406916081025216,0.0268,26.5
1953,-0.027501909854851014,0.05385790679908327,0.026355996944232254,0.028300000000000002,26.6
1954,0.39827179890023556,0.05721406127258444,0.45548586017282,0.0248,26.9
1955,0.2401685393258426,0.04344578651685393,0.2836143258426965,0.026099999999999998,26.7
1956,0.02899207248018132,0.03782559456398641,0.06681766704416772,0.028999999999999998,26.8
1957,-0.0948712304644509,0.03822738278670482,-0.05664384767774608,0.0346,27.6
1958,0.35262645914396895,0.04336892023346304,0.395995379377432,0.030899999999999997,28.6
1959,0.04332973750449476,0.031583423229054296,0.07491316073354906,0.04019999999999999,29
1960,0.029122867482336723,0.03216732724452869,0.061290194726865414,0.0472,29.3
1961,0.15656396517079707,0.03259661754855995,0.189160582719357,0.0384,29.8
1962,-0.058057043578977674,0.029342261473867096,-0.028714782105110578,0.0408,30
1963,0.17506916692284036,0.032841530894558865,0.20791069781739924,0.0383,30.4
1964,0.12648790058862014,0.030041465009810336,0.15652936559843048,0.0417,30.9
1965,0.0836042731072919,0.029222828611240127,0.11282710171853202,0.04190000000000001,31.2
1966,-0.09504929275610796,0.02936133733390485,-0.06568795542220311,0.0461,31.8
1967,0.12539964476021326,0.03410301953818828,0.15950266429840154,0.0458,32.9
1968,0.0732323232323231,0.030829124579124578,0.10406144781144767,0.0553,34.1
1969,-0.11460784313725492,0.03019607843137255,-0.08441176470588237,0.0604,35.6
1970,0.035212047392315204,0.03502746096777765,0.07023950836009285,0.0779,37.8
1971,0.10493100866402827,0.03347951652583164,0.1384105251898599,0.062400000000000004,39.8
1972,0.14617618586640857,0.02971926427879961,0.1758954501452082,0.059500000000000004,41.1
1973,-0.18826013513513518,0.02666106418918919,-0.161599070945946,0.0646,42.6
1974,-0.24503173447091875,0.035376131515971285,-0.20965560295494745,0.0699,46.6
1975,0.33489525909592066,0.0499356394707828,0.38483089856670344,0.075,52.1
1976,0.0716498038405946,0.03802735907495355,0.10967716291554816,0.0774,55.6
1977,-0.13053949903660889,0.0394669556840077,-0.09107254335260118,0.0721,58.5
1978,0.10481994459833799,0.05222526315789474,0.15704520775623274,0.0796,62.5
1979,0.11222545381606674,0.05128201785177014,0.16350747166783688,0.091,68.3
1980,0.19927862939585195,0.05139765554553652,0.2506762849413885,0.10800000000000001,77.8
1981,-0.11804511278195495,0.04661654135338346,-0.0714285714285715,0.1257,87
1982,0.2301790281329925,0.05677749360613811,0.2869565217391306,0.1459,94.3
1983,0.15315315315315314,0.047701524601524596,0.20085467775467775,0.10460000000000001,97.8
1984,0.03125,0.04278846153846154,0.07403846153846154,0.1167,101.9
1985,0.21328671328671334,0.04413362470862471,0.25742033799533803,0.11380000000000001,105.5
1986,0.2704130643611913,0.038136407300672436,0.3085494716618637,0.0919,109.6
1987,-0.052930056710775,0.031379962192816635,-0.021550094517958363,0.0708,111.2
1988,0.13932135728542905,0.035355968063872256,0.1746773253493013,0.0867,115.7
1989,0.19120532585844452,0.0343844779257183,0.22558980378416282,0.0909,121.1
1990,-0.04259199341118336,0.0327675971409242,-0.009824396270259161,0.0821,127.4
1991,0.27831884236074833,0.03719530553934069,0.315514147900089,0.0809,134.6
1992,0.046024802922514985,0.029417419726975584,0.07544222264949058,0.0703,138.1
1993,0.08675872527169548,0.02852124164235002,0.1152799669140455,0.066,142.6
1994,-0.01636398232520775,0.02668830207826804,0.01032431975306029,0.0575,146.2
1995,0.32062332079527134,0.02832885545405696,0.3489521762493283,0.07780000000000001,150.3
1996,0.2470622701083951,0.02261205689918948,0.2696743270075846,0.0565,154.4
1997,0.25728902926052566,0.019515674349403565,0.2768047036099292,0.0658,159.1
1998,0.296265155289819,0.016141421690749044,0.31240657698056806,0.0554,161.6
1999,0.1415953298045276,0.013039497529569097,0.1546348273340967,0.0472,164.3
2000,-0.06310369741650812,0.011723800905823789,-0.05137989651068433,0.0666,168.8
2001,-0.14631297589901404,0.012106646301745242,-0.1342063295972688,0.0516,175.1
2002,-0.21432016909165852,0.013801551176245312,-0.2005186179154132,0.0504,177.1
2003,0.2641989641007323,0.0179942846936953,0.2821932487944276,0.0405,181.7
2004,0.04316921555469233,0.015540564405043622,0.058709779959735954,0.0415,185.2
2005,0.0823761437604218,0.016677811541576024,0.09905395530199781,0.042199999999999994,190.7
2006,0.11373002901316154,0.017522594032099558,0.13125262304526109,0.044199999999999996,198.3
2007,-0.03187844062464895,0.01761272141706924,-0.01426571920757971,0.047599999999999996,202.416
2008,-0.3722040093997505,0.020250079781832953,-0.35195392961791755,0.0374,211.08
2009,0.2980660366459482,0.0323636559686376,0.3304296926145858,0.0252,211.143
2010,0.14154755335623626,0.019793873155449546,0.16134142651168581,0.0373,216.687
2011,0.01400258845176272,0.01790345802601966,0.03190604647778238,0.0339,220.223
